Description,Start Date,Start Time,End Date,End Time,Duration (h),Duration (decimal)
studying R and JS for potential use,2/14/2021,5:00:00 PM,2/14/2021,5:30:00 PM,0:30:00,0.5
studying some different R concepts/tidymodels,2/13/2021,4:00:00 PM,2/13/2021,5:00:00 PM,1:00:00,1
plot ad what ot,2/13/2021,10:10:00 AM,2/13/2021,10:40:00 AM,0:30:00,0.5
plot,2/12/2021,11:35:00 PM,2/13/2021,12:08:00 AM,0:33:00,0.55
,2/12/2021,6:14:34 PM,2/12/2021,7:42:16 PM,1:27:42,1.46
plot,2/12/2021,4:54:54 PM,2/12/2021,5:47:26 PM,0:52:32,0.88
met with Sean,2/12/2021,3:11:48 PM,2/12/2021,4:24:36 PM,1:12:48,1.21
normalize data,2/12/2021,1:17:53 PM,2/12/2021,2:15:43 PM,0:57:50,0.96
eda,2/12/2021,12:35:09 PM,2/12/2021,1:07:41 PM,0:32:32,0.54
"met with Nygaard, waited for Hathaway",2/12/2021,9:00:00 AM,2/12/2021,10:00:00 AM,1:00:00,1
targets,2/11/2021,2:32:09 PM,2/11/2021,3:08:57 PM,0:36:48,0.61
met with Sean,2/11/2021,11:12:59 AM,2/11/2021,12:09:17 PM,0:56:18,0.94
Met with Sean,2/10/2021,2:07:43 PM,2/10/2021,2:57:20 PM,0:49:37,0.83
Targets,2/10/2021,8:58:27 AM,2/10/2021,9:11:26 AM,0:12:59,0.22
Renv,2/10/2021,8:30:35 AM,2/10/2021,8:53:44 AM,0:23:09,0.39
met with sean,2/9/2021,3:25:36 PM,2/9/2021,3:36:29 PM,0:10:53,0.18
Work with Sean,2/9/2021,3:04:20 PM,2/9/2021,3:19:52 PM,0:15:32,0.26
wrangling with Sean,2/9/2021,11:02:24 AM,2/9/2021,12:08:51 PM,1:06:27,1.11
data wrangling,2/8/2021,4:52:37 PM,2/8/2021,5:17:00 PM,0:24:23,0.41
top n,2/8/2021,4:18:50 PM,2/8/2021,4:39:52 PM,0:21:02,0.35
data wrangling with sean,2/8/2021,3:09:59 PM,2/8/2021,4:00:42 PM,0:50:43,0.85
met with Nygaard and Sean,2/5/2021,9:01:00 AM,2/5/2021,9:59:36 AM,0:58:36,0.98
data wrangling,2/4/2021,9:46:20 AM,2/4/2021,10:59:31 AM,1:13:11,1.22
worked with Sean on finishing R package,2/2/2021,11:05:48 AM,2/2/2021,12:12:56 PM,1:07:08,1.12
worked with Sean on more pdf scraping,1/30/2021,1:13:57 PM,1/30/2021,3:48:47 PM,2:34:50,2.58
html forms,1/29/2021,12:38:09 PM,1/29/2021,12:41:37 PM,0:03:28,0.06
met with sean again,1/29/2021,10:05:10 AM,1/29/2021,10:12:50 AM,0:07:40,0.13
met with nygaard then sean,1/29/2021,9:00:00 AM,1/29/2021,10:04:45 AM,1:04:45,1.08
package,1/28/2021,5:01:22 PM,1/28/2021,7:45:00 PM,2:43:38,2.73
met with Sean and worked on more wrangling,1/27/2021,1:07:17 PM,1/27/2021,1:50:16 PM,0:42:59,0.72
wrangling,1/27/2021,9:56:15 AM,1/27/2021,10:53:00 AM,0:56:45,0.95
data wrangling,1/26/2021,5:39:59 PM,1/26/2021,5:53:27 PM,0:13:28,0.22
working with sean,1/26/2021,4:08:44 PM,1/26/2021,5:26:00 PM,1:17:16,1.29
Met with Sean,1/26/2021,11:02:36 AM,1/26/2021,11:56:58 AM,0:54:22,0.91
Pause,1/22/2021,4:31:48 PM,1/22/2021,5:12:38 PM,0:40:50,0.68
tidytranscript,1/22/2021,2:22:31 PM,1/22/2021,3:41:21 PM,1:18:50,1.31
tidytranscript,1/22/2021,10:26:55 AM,1/22/2021,11:59:53 AM,1:32:58,1.55
Met with Hathaway and Sean,1/22/2021,9:32:05 AM,1/22/2021,9:56:05 AM,0:24:00,0.4
Met with Nygaard and Sean,1/20/2021,1:00:00 PM,1/20/2021,2:27:12 PM,1:27:12,1.45
Meet with Sean,1/19/2021,11:09:52 AM,1/19/2021,11:51:18 AM,0:41:26,0.69
Plumber,1/18/2021,7:33:46 PM,1/18/2021,8:33:05 PM,0:59:19,0.99
What are you working on?,1/18/2021,4:36:00 PM,1/18/2021,5:45:43 PM,1:09:43,1.16
Pdf scraping,1/16/2021,8:41:35 PM,1/16/2021,10:45:34 PM,2:03:59,2.07
Pdf scraping,1/16/2021,3:46:00 PM,1/16/2021,4:26:04 PM,0:40:04,0.67
Pdf scraping,1/16/2021,2:11:21 PM,1/16/2021,3:40:38 PM,1:29:17,1.49
Met with Hathaway then Sean,1/15/2021,1:19:47 PM,1/15/2021,3:18:35 PM,1:58:48,1.98
"writing up some notes, and data wrangling",1/15/2021,12:18:52 PM,1/15/2021,12:58:23 PM,0:39:31,0.66
"Met with Nygaard and Sean, and then stayed with Sean",1/15/2021,8:59:20 AM,1/15/2021,10:13:49 AM,1:14:29,1.24
data wrangling,1/15/2021,7:57:38 AM,1/15/2021,8:34:55 AM,0:37:17,0.62
Data and blog,1/14/2021,11:19:29 AM,1/14/2021,12:00:00 PM,0:40:31,0.68
"getting more praxis data, and more cow bell",1/13/2021,2:44:48 PM,1/13/2021,3:30:00 PM,0:45:12,0.75
data blog,1/13/2021,1:21:54 PM,1/13/2021,2:00:36 PM,0:38:42,0.65
"worked data wrangling, then met with sean",1/12/2021,10:19:04 AM,1/12/2021,12:06:55 PM,1:47:51,1.8
more data wrangling,1/11/2021,1:54:58 PM,1/11/2021,2:24:02 PM,0:29:04,0.48
data wrangling,1/11/2021,1:06:40 PM,1/11/2021,1:38:28 PM,0:31:48,0.53
worked on project proposal,1/7/2021,7:38:53 PM,1/7/2021,8:40:00 PM,1:01:07,1.02
worked,1/7/2021,4:07:48 PM,1/7/2021,5:08:46 PM,1:00:58,1.02
"met with Sean and Nygaard, and then Sean",1/7/2021,3:00:14 PM,1/7/2021,4:07:01 PM,1:06:47,1.11
